"No.","Time","Source","Destination","Protocol","Length","Info"
"116","1.140775","10.0.0.12","10.0.0.254","MQTT","85","Publish Message [pulse_ox_data]"
"117","1.140791","10.0.0.254","10.0.0.12","TCP","66","1883  >  38083 [ACK] Seq=1 Ack=39 Win=64 Len=0 TSval=1135849576 TSecr=2248471342"
"118","1.140827","10.0.0.7","10.0.0.254","MQTT","111","Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
"119","1.140843","10.0.0.254","10.0.0.7","TCP","66","1883  >  37873 [ACK] Seq=1 Ack=91 Win=64 Len=0 TSval=1803935053 TSecr=2029044987"
"120","1.140849","10.0.0.9","10.0.0.254","MQTT","91","Publish Message [blood_glucose_data]"
"121","1.140880","10.0.0.254","10.0.0.9","TCP","66","1883  >  45455 [ACK] Seq=1 Ack=26 Win=64 Len=0 TSval=1982783033 TSecr=416811820"
"122","1.141266","10.0.0.7","10.0.0.254","MQTT","111","Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
"123","1.141304","10.0.0.254","10.0.0.7","TCP","66","1883  >  43517 [ACK] Seq=1 Ack=91 Win=64 Len=0 TSval=1803935053 TSecr=2029044987"
"124","1.141314","10.0.0.3","10.0.0.254","MQTT","84","Publish Message [airflow_data]"
"125","1.141336","10.0.0.254","10.0.0.3","TCP","66","1883  >  35679 [ACK] Seq=1 Ack=37 Win=64 Len=0 TSval=459603674 TSecr=2768075104"
"126","1.141345","10.0.0.12","10.0.0.254","MQTT","85","Publish Message [pulse_ox_data]"
"127","1.141378","10.0.0.254","10.0.0.12","TCP","66","1883  >  44659 [ACK] Seq=1 Ack=39 Win=64 Len=0 TSval=1135849576 TSecr=2248471342"
"128","1.141592","10.0.0.9","10.0.0.254","MQTT","91","Publish Message [blood_glucose_data]"
"129","1.141642","10.0.0.254","10.0.0.9","TCP","66","1883  >  35905 [ACK] Seq=1 Ack=26 Win=64 Len=0 TSval=1982783034 TSecr=416811820"
"130","1.141651","10.0.0.8","10.0.0.254","MQTT","83","Publish Message [weight_data]"
"131","1.141673","10.0.0.254","10.0.0.8","TCP","66","1883  >  43951 [ACK] Seq=1 Ack=18 Win=64 Len=0 TSval=1375746035 TSecr=3323095926"
"132","1.158145","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"133","1.171627","192.168.137.233","192.168.137.216","UDP","310","60014  >  56346 Len=268"
"134","1.171668","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"135","1.180817","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"136","1.205794","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"137","1.206291","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"138","1.240670","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"139","1.270402","192.168.137.233","192.168.137.216","UDP","742","60014  >  56346 Len=700"
"140","1.270402","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"141","1.292449","RaspberryPiT_dc:27:d5","TuyaSmart_f7:cb:07","ARP","60","192.168.137.1 is at dc:a6:32:dc:27:d5"
"142","1.297057","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"143","1.327596","192.168.137.233","192.168.137.216","UDP","374","60014  >  56346 Len=332"
"144","1.327714","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"145","1.337725","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"146","1.360934","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"147","1.380692","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"148","1.382721","192.168.137.233","192.168.137.216","UDP","326","60014  >  56346 Len=284"
"149","1.412108","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"150","1.428923","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"151","1.461256","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"152","1.469275","192.168.137.233","192.168.137.216","UDP","358","60014  >  56346 Len=316"
"153","1.469275","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"154","1.486442","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"155","1.487907","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"156","1.508823","192.168.137.233","192.168.137.216","UDP","310","60014  >  56346 Len=268"
"157","1.557095","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"158","1.578514","192.168.137.233","192.168.137.216","UDP","326","60014  >  56346 Len=284"
"159","1.600252","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"160","1.608783","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"161","1.616194","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"162","1.620407","192.168.137.233","192.168.137.216","UDP","758","60014  >  56346 Len=716"
"163","1.632711","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"164","1.680301","192.168.137.233","192.168.137.216","UDP","182","60014  >  56346 Len=140"
"165","1.680301","192.168.137.233","192.168.137.216","UDP","214","60014  >  56346 Len=172"
"166","1.680301","192.168.137.233","192.168.137.216","UDP","166","60014  >  56346 Len=124"
"167","1.680301","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"168","1.680301","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"169","1.680301","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"170","1.680301","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"171","1.680350","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"172","1.681173","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"173","1.681173","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"174","1.681173","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"175","1.681173","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"176","1.681173","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"177","1.681173","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"178","1.686578","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"179","1.686578","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"180","1.690308","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"181","1.690308","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"182","1.690308","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"183","1.690308","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"184","1.690308","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"185","1.690870","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"186","1.690870","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"187","1.695539","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"188","1.695539","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"189","1.695539","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"190","1.695539","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"191","1.695539","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"192","1.705052","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"193","1.706387","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"194","1.706387","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"195","1.706387","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"196","1.708220","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"197","1.712244","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"198","1.712244","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"199","1.712244","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"200","1.712244","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"201","1.712244","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"202","1.713638","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"203","1.713638","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"204","1.713638","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"205","1.713638","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"206","1.713638","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"207","1.713689","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"208","1.714839","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"209","1.716855","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"210","1.716855","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"211","1.716897","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"212","1.716897","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"213","1.718207","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"214","1.718207","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"215","1.719634","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"216","1.719634","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"217","1.720967","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"218","1.720967","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"219","1.721010","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"220","1.721010","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"221","1.721952","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"222","1.721952","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"223","1.723359","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"224","1.723359","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"225","1.724914","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"226","1.724914","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"227","1.725217","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"228","1.731593","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"229","1.739208","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"230","1.740002","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"231","1.740002","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"232","1.743779","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"233","1.743779","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"234","1.744660","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"235","1.745191","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"236","1.746124","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"237","1.747111","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"238","1.752184","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"239","1.752184","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"240","1.753548","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"241","1.755043","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"242","1.756690","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"243","1.756690","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"244","1.757010","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"245","1.757010","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"246","1.758541","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"247","1.758541","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"248","1.763591","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"249","1.763591","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"250","1.768839","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"251","1.768839","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"252","1.768839","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"253","1.768839","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"254","1.768839","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"255","1.773433","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"256","1.773474","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"257","1.773474","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"258","1.776491","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"259","1.776491","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"260","1.776491","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"261","1.776491","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"262","1.776491","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"263","1.777564","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"264","1.781051","192.168.137.233","192.168.137.216","UDP","1414","60014  >  56346 Len=1372"
"265","1.781051","192.168.137.233","192.168.137.216","UDP","118","60014  >  56346 Len=76"
"266","1.781405","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"267","1.781405","192.168.137.233","192.168.137.216","UDP","886","60014  >  56346 Len=844"
"268","1.783246","192.168.137.233","192.168.137.216","UDP","390","60014  >  56346 Len=348"
"269","1.788802","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"270","1.796581","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"271","1.818576","192.168.137.233","192.168.137.216","UDP","438","60014  >  56346 Len=396"
"272","1.864444","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"273","1.870864","192.168.137.233","192.168.137.216","UDP","422","60014  >  56346 Len=380"
"274","1.876428","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"275","1.909418","192.168.137.233","192.168.137.216","UDP","438","60014  >  56346 Len=396"
"276","1.909458","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"277","1.938296","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"278","1.950024","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"279","1.971933","192.168.137.233","192.168.137.216","UDP","454","60014  >  56346 Len=412"
"280","1.971933","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"281","2.018752","192.168.137.233","192.168.137.216","UDP","342","60014  >  56346 Len=300"
"282","2.039039","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"283","2.046454","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"284","2.059835","192.168.137.216","192.168.137.233","UDP","86","56346  >  60014 Len=44"
"285","2.068488","192.168.137.233","192.168.137.216","UDP","406","60014  >  56346 Len=364"
"286","2.068488","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"287","2.106346","192.168.137.233","192.168.137.216","UDP","486","60014  >  56346 Len=444"
"288","2.126534","192.168.137.233","192.168.137.216","UDP","326","60014  >  56346 Len=284"
"289","2.140807","10.0.0.3","10.0.0.254","MQTT","84","Publish Message [airflow_data]"
