No,Time,Source,Destination,Protocol,Length,Info
39,1.526811,10.0.0.254,10.0.0.9,TCP,66,1883  >  35905 [ACK] Seq=1 Ack=25 Win=64 Len=0 TSval=1976592877 TSecr=410621830
40,1.527006,10.0.0.14,10.0.0.254,MQTT,88,Publish Message [spirometer_data]
41,1.527099,10.0.0.254,10.0.0.14,TCP,66,1883  >  36405 [ACK] Seq=1 Ack=23 Win=64 Len=0 TSval=1132861996 TSecr=1031095013
42,1.527336,10.0.0.7,10.0.0.254,MQTT,111,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
43,1.527365,10.0.0.254,10.0.0.7,TCP,66,1883  >  37873 [ACK] Seq=1 Ack=91 Win=64 Len=0 TSval=1797744898 TSecr=2022854997
44,1.640907,192.168.137.250,8.8.8.8,DNS,89,Standard query 0xa83f AAAA connectivity-check.ubuntu.com
45,1.643611,192.168.137.250,8.8.8.8,DNS,89,Standard query 0x252b A connectivity-check.ubuntu.com
46,2.52135,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
47,2.521402,10.0.0.254,10.0.0.3,TCP,66,1883  >  44003 [ACK] Seq=1 Ack=55 Win=64 Len=0 TSval=453414513 TSecr=2761886110
48,2.521795,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
49,2.521878,10.0.0.254,10.0.0.12,TCP,66,1883  >  38083 [ACK] Seq=1 Ack=58 Win=64 Len=0 TSval=1129660415 TSecr=2242282349
50,2.522166,10.0.0.7,10.0.0.254,MQTT,110,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
51,2.52225,10.0.0.254,10.0.0.7,TCP,66,1883  >  37873 [ACK] Seq=1 Ack=135 Win=64 Len=0 TSval=1797745892 TSecr=2022855994
52,2.522522,10.0.0.7,10.0.0.254,MQTT,111,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
53,2.522547,10.0.0.254,10.0.0.7,TCP,66,1883  >  43517 [ACK] Seq=1 Ack=134 Win=64 Len=0 TSval=1797745893 TSecr=2022855994
54,2.522864,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
55,2.52289,10.0.0.254,10.0.0.12,TCP,66,1883  >  44659 [ACK] Seq=1 Ack=58 Win=64 Len=0 TSval=1129660416 TSecr=2242282349
56,2.52328,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
57,2.523373,10.0.0.254,10.0.0.3,TCP,66,1883  >  35679 [ACK] Seq=1 Ack=55 Win=64 Len=0 TSval=453414514 TSecr=2761886111
58,2.548443,ASIXElectron_23:55:40,VMware_b9:07:f6,ARP,42,Who has 10.0.0.7? Tell 10.0.0.254
59,2.548468,ASIXElectron_23:55:40,VMware_b9:07:f6,ARP,42,Who has 10.0.0.12? Tell 10.0.0.254
60,2.548482,ASIXElectron_23:55:40,VMware_b9:07:f6,ARP,42,Who has 10.0.0.3? Tell 10.0.0.254
61,2.549701,VMware_b9:07:f6,ASIXElectron_23:55:40,ARP,60,10.0.0.7 is at 00:0c:29:b9:07:f6
62,2.550163,VMware_b9:07:f6,ASIXElectron_23:55:40,ARP,60,10.0.0.12 is at 00:0c:29:b9:07:f6
63,2.550485,VMware_b9:07:f6,ASIXElectron_23:55:40,ARP,60,10.0.0.3 is at 00:0c:29:b9:07:f6
64,3.454851,192.168.137.233,255.255.255.255,UDP,214,51259  >  6667 Len=172
65,3.523514,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
66,3.523644,10.0.0.254,10.0.0.3,TCP,66,1883  >  44003 [ACK] Seq=1 Ack=73 Win=64 Len=0 TSval=453415515 TSecr=2761887112
67,3.523657,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
68,3.523678,10.0.0.254,10.0.0.12,TCP,66,1883  >  38083 [ACK] Seq=1 Ack=77 Win=64 Len=0 TSval=1129661417 TSecr=2242283351
69,3.523685,10.0.0.7,10.0.0.254,MQTT,110,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
70,3.523701,10.0.0.254,10.0.0.7,TCP,66,1883  >  37873 [ACK] Seq=1 Ack=179 Win=64 Len=0 TSval=1797746894 TSecr=2022856996
71,3.523934,10.0.0.7,10.0.0.254,MQTT,111,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
72,3.524022,10.0.0.254,10.0.0.7,TCP,66,1883  >  43517 [ACK] Seq=1 Ack=179 Win=64 Len=0 TSval=1797746894 TSecr=2022856996
73,3.524031,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
74,3.524052,10.0.0.254,10.0.0.12,TCP,66,1883  >  44659 [ACK] Seq=1 Ack=77 Win=64 Len=0 TSval=1129661417 TSecr=2242283351
75,3.524309,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
76,3.524332,10.0.0.254,10.0.0.3,TCP,66,1883  >  35679 [ACK] Seq=1 Ack=73 Win=64 Len=0 TSval=453415516 TSecr=2761887113
77,3.572422,ASIXElectron_23:55:40,VMware_b9:07:f6,ARP,42,Who has 10.0.0.14? Tell 10.0.0.254
78,3.573733,VMware_b9:07:f6,ASIXElectron_23:55:40,ARP,60,10.0.0.14 is at 00:0c:29:b9:07:f6
79,4.166342,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.1? Tell 192.168.137.48
80,4.176603,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.24? Tell 192.168.137.48
81,4.18704,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.231? Tell 192.168.137.48
82,4.197717,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.240? Tell 192.168.137.48
83,4.208291,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.151? Tell 192.168.137.48
84,4.218853,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.139? Tell 192.168.137.48
85,4.229361,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.116? Tell 192.168.137.48
86,4.239912,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.254? Tell 192.168.137.48
87,4.250241,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.185? Tell 192.168.137.48
88,4.26068,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.162? Tell 192.168.137.48
89,4.271191,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.155? Tell 192.168.137.48
90,4.281429,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.101? Tell 192.168.137.48
91,4.291654,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.93? Tell 192.168.137.48
92,4.302089,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.208? Tell 192.168.137.48
93,4.312618,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.76? Tell 192.168.137.48
94,4.322958,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.70? Tell 192.168.137.48
95,4.333377,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.167? Tell 192.168.137.48
96,4.350912,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.84? Tell 192.168.137.48
97,4.354154,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.181? Tell 192.168.137.48
98,4.364564,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.121? Tell 192.168.137.48
99,4.37497,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.164? Tell 192.168.137.48
100,4.385421,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.191? Tell 192.168.137.48
101,4.396696,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.91? Tell 192.168.137.48
102,4.406231,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.114? Tell 192.168.137.48
103,4.4197,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.202? Tell 192.168.137.48
104,4.427005,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.248? Tell 192.168.137.48
105,4.437304,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.135? Tell 192.168.137.48
106,4.455235,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.61? Tell 192.168.137.48
107,4.457913,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.188? Tell 192.168.137.48
108,4.468375,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.122? Tell 192.168.137.48
109,4.478776,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.51? Tell 192.168.137.48
110,4.489104,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.142? Tell 192.168.137.48
111,4.499604,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.130? Tell 192.168.137.48
112,4.509988,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.47? Tell 192.168.137.48
113,4.519168,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
114,4.519226,10.0.0.254,10.0.0.3,TCP,66,1883  >  44003 [ACK] Seq=1 Ack=91 Win=64 Len=0 TSval=453416510 TSecr=2761888108
115,4.519608,10.0.0.7,10.0.0.254,MQTT,111,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
116,4.519692,10.0.0.254,10.0.0.7,TCP,66,1883  >  43517 [ACK] Seq=1 Ack=224 Win=64 Len=0 TSval=1797747890 TSecr=2022857991
117,4.519704,10.0.0.14,10.0.0.254,MQTT,88,Publish Message [spirometer_data]
118,4.519725,10.0.0.254,10.0.0.14,TCP,66,1883  >  43379 [ACK] Seq=1 Ack=45 Win=64 Len=0 TSval=1132864989 TSecr=1031098007
119,4.519973,10.0.0.3,10.0.0.254,MQTT,84,Publish Message [airflow_data]
120,4.520067,10.0.0.254,10.0.0.3,TCP,66,1883  >  35679 [ACK] Seq=1 Ack=91 Win=64 Len=0 TSval=453416511 TSecr=2761888108
121,4.520077,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
122,4.520098,10.0.0.254,10.0.0.12,TCP,66,1883  >  44659 [ACK] Seq=1 Ack=96 Win=64 Len=0 TSval=1129662413 TSecr=2242284347
123,4.520357,10.0.0.2,10.0.0.254,MQTT,88,Publish Message [temperature_data]
124,4.520438,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.168? Tell 192.168.137.48
125,4.520441,10.0.0.254,10.0.0.2,TCP,66,1883  >  43871 [ACK] Seq=1 Ack=45 Win=64 Len=0 TSval=2656639405 TSecr=935794031
126,4.520695,10.0.0.2,10.0.0.254,MQTT,88,Publish Message [temperature_data]
127,4.520723,10.0.0.254,10.0.0.2,TCP,66,1883  >  36947 [ACK] Seq=1 Ack=45 Win=64 Len=0 TSval=2656639405 TSecr=935794031
128,4.52073,10.0.0.14,10.0.0.254,MQTT,88,Publish Message [spirometer_data]
129,4.520809,10.0.0.254,10.0.0.14,TCP,66,1883  >  36405 [ACK] Seq=1 Ack=45 Win=64 Len=0 TSval=1132864990 TSecr=1031098008
130,4.521152,10.0.0.12,10.0.0.254,MQTT,85,Publish Message [pulse_ox_data]
131,4.521182,10.0.0.254,10.0.0.12,TCP,66,1883  >  38083 [ACK] Seq=1 Ack=96 Win=64 Len=0 TSval=1129662414 TSecr=2242284347
132,4.521522,10.0.0.7,10.0.0.254,MQTT,110,"Publish Message [heart_rate_data], Publish Message [oxygen_level_data]"
133,4.521552,10.0.0.254,10.0.0.7,TCP,66,1883  >  37873 [ACK] Seq=1 Ack=223 Win=64 Len=0 TSval=1797747892 TSecr=2022857992
134,4.530562,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.198? Tell 192.168.137.48
135,4.540856,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.68? Tell 192.168.137.48
136,4.557551,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.31? Tell 192.168.137.48
137,4.561627,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.26? Tell 192.168.137.48
138,4.571652,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.123? Tell 192.168.137.48
139,4.583933,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.62? Tell 192.168.137.48
140,4.592055,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.13? Tell 192.168.137.48
141,4.602441,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.90? Tell 192.168.137.48
142,4.612581,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.7? Tell 192.168.137.48
143,4.622827,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.14? Tell 192.168.137.48
144,4.633171,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.206? Tell 192.168.137.48
145,4.643874,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.195? Tell 192.168.137.48
146,4.65927,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.98? Tell 192.168.137.48
147,4.663839,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.174? Tell 192.168.137.48
148,4.679176,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.226? Tell 192.168.137.48
149,4.684467,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.234? Tell 192.168.137.48
150,4.694658,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.170? Tell 192.168.137.48
151,4.701407,192.168.137.140,255.255.255.255,UDP,246,59729  >  6667 Len=204
152,4.704935,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.242? Tell 192.168.137.48
153,4.715158,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.119? Tell 192.168.137.48
154,4.725363,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.83? Tell 192.168.137.48
155,4.73573,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.42? Tell 192.168.137.48
156,4.745912,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.5? Tell 192.168.137.48
157,4.762906,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.4? Tell 192.168.137.48
158,4.766352,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.249? Tell 192.168.137.48
159,4.7765,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.236? Tell 192.168.137.48
160,4.787461,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.218? Tell 192.168.137.48
161,4.798505,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.189? Tell 192.168.137.48
162,4.807031,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.196? Tell 192.168.137.48
163,4.817957,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.156? Tell 192.168.137.48
164,4.827791,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.141? Tell 192.168.137.48
165,4.838012,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.125? Tell 192.168.137.48
166,4.848273,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.230? Tell 192.168.137.48
167,4.863956,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.95? Tell 192.168.137.48
168,4.868431,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.120? Tell 192.168.137.48
169,4.879047,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.71? Tell 192.168.137.48
170,4.88928,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.132? Tell 192.168.137.48
171,4.899332,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.238? Tell 192.168.137.48
172,4.910524,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.159? Tell 192.168.137.48
173,4.920339,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.63? Tell 192.168.137.48
174,4.931435,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.57? Tell 192.168.137.48
175,4.941806,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,ARP Announcement for 192.168.137.48
176,4.948014,ecobee_e8:88:2f,RaspberryPiT_dc:27:d5,ARP,60,192.168.137.174 is at 44:61:32:e8:88:2f
177,4.952422,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.41? Tell 192.168.137.48
178,4.96588,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.36? Tell 192.168.137.48
179,4.973262,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.32? Tell 192.168.137.48
180,4.98348,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.29? Tell 192.168.137.48
181,4.994148,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.72? Tell 192.168.137.48
182,5.004095,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.157? Tell 192.168.137.48
183,5.014436,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.144? Tell 192.168.137.48
184,5.024923,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.211? Tell 192.168.137.48
185,5.037402,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.133? Tell 192.168.137.48
186,5.045565,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.200? Tell 192.168.137.48
187,5.055688,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.252? Tell 192.168.137.48
188,5.071174,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.79? Tell 192.168.137.48
189,5.076267,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.21? Tell 192.168.137.48
190,5.086561,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.160? Tell 192.168.137.48
191,5.096803,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.54? Tell 192.168.137.48
192,5.106878,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.15? Tell 192.168.137.48
193,5.117201,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.110? Tell 192.168.137.48
194,5.127513,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.11? Tell 192.168.137.48
195,5.140163,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.9? Tell 192.168.137.48
196,5.147951,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.16? Tell 192.168.137.48
197,5.158174,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.8? Tell 192.168.137.48
198,5.170148,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.173? Tell 192.168.137.48
199,5.178691,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.87? Tell 192.168.137.48
200,5.188901,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.184? Tell 192.168.137.48
201,5.199189,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.44? Tell 192.168.137.48
202,5.226358,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.171? Tell 192.168.137.48
203,5.226363,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.214? Tell 192.168.137.48
204,5.244739,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.239? Tell 192.168.137.48
205,5.244744,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.161? Tell 192.168.137.48
206,5.250234,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.137? Tell 192.168.137.48
207,5.260567,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.86? Tell 192.168.137.48
208,5.273519,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.81? Tell 192.168.137.48
209,5.280634,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.69? Tell 192.168.137.48
210,5.290831,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.96? Tell 192.168.137.48
211,5.301776,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.247? Tell 192.168.137.48
212,5.311491,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.165? Tell 192.168.137.48
213,5.321703,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.124? Tell 192.168.137.48
214,5.331836,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.219? Tell 192.168.137.48
215,5.345252,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.209? Tell 192.168.137.48
216,5.352843,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.201? Tell 192.168.137.48
217,5.362575,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.131? Tell 192.168.137.48
218,5.376471,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.65? Tell 192.168.137.48
219,5.382908,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.6? Tell 192.168.137.48
220,5.393015,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.215? Tell 192.168.137.48
221,5.403235,RaspberryPiT_dc:27:d5,Broadcast,ARP,60,Who has 192.168.137.108? Tell 192.168.137.48
